gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS15120	3269.953112475832	-6.386203629300206	0.17757232860626157	-35.963957219148696	3.0629901809643683e-283	2.926056502285961e-281	WP_032876691.1	NA	endonuclease I family protein	280.53371729188325	Down	NA
gene-ACSAL1_RS09485	6855.558077721681	-6.366259052420619	0.17736030791472468	-35.894497067977206	3.722465971480101e-282	3.4544484215335336e-280	WP_209388309.1	NA	non-ribosomal peptide synthetase	279.4616212873948	Down	NA
gene-ACSAL1_RS04150	7599.828225320778	-11.195098894813908	0.31601211184024486	-35.426170312337334	6.753707928948666e-275	6.093345375895907e-273	WP_191389576.1	NA	dihydrolipoamide acetyltransferase family protein	272.21514420500455	Down	NA
gene-ACSAL1_RS11200	4538.2648911491015	-7.512401488868767	0.21228701856491897	-35.387945714501704	2.6169381708121126e-274	2.297247345621011e-272	WP_209387408.1	NA	type I polyketide synthase	271.6387922416116	Down	NA
gene-ACSAL1_RS05370	4167.495338725495	-5.275072320847534	0.14939416002385714	-35.30976257709903	4.15915720424704e-273	3.55498489457747e-271	WP_029973179.1	NA	YrpD family protein	270.44916224028316	Down	NA
gene-ACSAL1_RS07515	6281.887796107067	-6.268719795758391	0.1794000848694948	-34.94268021288057	1.6727214309506101e-267	1.393076719930149e-265	WP_100261765.1	NA	M4 family metallopeptidase	264.8560249653242	Down	NA
gene-ACSAL1_RS08950	4485.425044106672	-6.532721403558411	0.1871001334866027	-34.915642665889315	4.3043388443724005e-267	3.49512314163039e-265	WP_020955863.1	adhP	alcohol dehydrogenase AdhP	264.4565375184051	Down	NA
gene-ACSAL1_RS15520	2008.2318927510648	-6.473368253697618	0.19026988154038116	-34.022033341749726	1.0523127839985852e-253	8.336370542505866e-252	WP_007410043.1	NA	oxalate decarboxylase family bicupin	251.07902298970325	Down	NA
gene-ACSAL1_RS11185	1649.6626410774022	-6.926343899633857	0.20504124055078293	-33.780247724937055	3.846497677931219e-250	2.974624870933476e-248	WP_077722559.1	NA	cytochrome P450	247.5265677952315	Down	NA
gene-ACSAL1_RS15295	1931.1882320118757	-8.135821693504022	0.2442986668419796	-33.302767463592176	3.520791238255732e-243	2.659425567873167e-241	WP_015418168.1	NA	acetyl-CoA C-acetyltransferase	240.57521216022752	Down	NA
gene-ACSAL1_RS14390	14208.430497175552	-5.780876519510483	0.17393956737620972	-33.2349712415184	3.3657084379678443e-242	2.4845047742089897e-240	WP_025650408.1	bslA	biofilm surface layer hydrophobin BslA	239.60476016438005	Down	NA
gene-ACSAL1_RS11205	8184.6927725943215	-6.901096492346643	0.2090788695368588	-33.00714466092921	6.414792919538001e-239	4.6300549783687626e-237	WP_209387409.1	NA	SDR family NAD(P)-dependent oxidoreductase	236.33441385203596	Down	NA
gene-ACSAL1_RS07615	1634.9179799893518	-6.662155350000356	0.2024785000721465	-32.903025988569254	1.9893936320445625e-237	1.4046848949740734e-235	WP_007611227.1	ctaD	cytochrome c oxidase subunit I	234.8524210876607	Down	NA
gene-ACSAL1_RS11690	6242.193526431895	-11.145716030371412	0.3388214360042765	-32.89554569454907	2.545057306978793e-237	1.758797049588749e-235	WP_007408329.1	tasA	biofilm matrix protein TasA	234.75478427158794	Down	NA
gene-ACSAL1_RS12710	2389.304356801352	-8.993120230055487	0.27455446269908174	-32.75532344892955	2.550024584998939e-235	1.7255166358492818e-233	WP_209387469.1	safA	SafA/ExsA family spore coat assembly protein	232.7630808492831	Down	NA
gene-ACSAL1_RS17780	1580.464252828589	-6.850199766109634	0.20970592725941123	-32.665742240255206	4.789856662977814e-234	3.1749907023167225e-232	WP_061860976.1	bacD	alanine--anticapsin ligase	231.49825754216366	Down	NA
